varying_param,final_coop,final_clusters,influencer_coop,influencer_non_coop,steps,velocity,imitation,range,temptation
0.00,0.00,1.00,0,0,800,2.00,0.50,10.00,1.50
0.01,0.00,1.00,0,0,800,2.00,0.50,10.00,1.50
0.02,0.00,1.00,0,0,800,2.00,0.50,10.00,1.50
0.03,0.00,1.00,0,0,800,2.00,0.50,10.00,1.50
0.04,0.00,1.00,0,0,800,2.00,0.50,10.00,1.50
0.05,0.00,1.16,0,0,800,2.00,0.50,10.00,1.50
0.06,0.00,1.00,0,0,800,2.00,0.50,10.00,1.50
0.07,0.00,1.00,0,0,800,2.00,0.50,10.00,1.50
0.08,0.00,1.02,0,0,800,2.00,0.50,10.00,1.50
0.09,0.00,1.00,0,0,800,2.00,0.50,10.00,1.50
0.10,1.66,1.55,0,0,800,2.00,0.50,10.00,1.50
0.11,5.75,1.58,0,0,800,2.00,0.50,10.00,1.50
0.12,3.88,1.26,0,0,800,2.00,0.50,10.00,1.50
0.13,0.00,1.04,0,0,800,2.00,0.50,10.00,1.50
0.14,0.00,1.00,0,0,800,2.00,0.50,10.00,1.50
0.15,0.00,1.00,0,0,800,2.00,0.50,10.00,1.50
0.16,0.00,1.00,0,0,800,2.00,0.50,10.00,1.50
0.17,2.64,1.91,0,0,800,2.00,0.50,10.00,1.50
0.18,0.00,1.00,0,0,800,2.00,0.50,10.00,1.50
0.19,0.00,1.00,0,0,800,2.00,0.50,10.00,1.50
0.20,0.00,1.00,0,0,800,2.00,0.50,10.00,1.50
0.21,4.43,1.54,0,0,800,2.00,0.50,10.00,1.50
0.22,9.76,1.60,0,0,800,2.00,0.50,10.00,1.50
0.23,0.00,1.02,0,0,800,2.00,0.50,10.00,1.50
0.24,8.79,1.57,0,0,800,2.00,0.50,10.00,1.50
0.25,9.88,1.76,0,0,800,2.00,0.50,10.00,1.50
0.26,9.70,1.86,0,0,800,2.00,0.50,10.00,1.50
0.27,12.33,2.30,0,0,800,2.00,0.50,10.00,1.50
0.28,18.75,2.33,0,0,800,2.00,0.50,10.00,1.50
0.29,17.23,2.52,0,0,800,2.00,0.50,10.00,1.50
0.30,5.59,1.30,0,0,800,2.00,0.50,10.00,1.50
0.31,24.99,2.28,0,0,800,2.00,0.50,10.00,1.50
0.32,32.61,3.95,0,0,800,2.00,0.50,10.00,1.50
0.33,30.84,2.76,0,0,800,2.00,0.50,10.00,1.50
0.34,25.33,3.28,0,0,800,2.00,0.50,10.00,1.50
0.35,32.23,3.18,0,0,800,2.00,0.50,10.00,1.50
0.36,48.85,4.30,0,0,800,2.00,0.50,10.00,1.50
0.37,41.39,3.58,0,0,800,2.00,0.50,10.00,1.50
0.38,38.28,3.28,0,0,800,2.00,0.50,10.00,1.50
0.39,45.35,4.37,0,0,800,2.00,0.50,10.00,1.50
0.40,37.22,3.80,0,0,800,2.00,0.50,10.00,1.50
0.41,47.28,4.51,0,0,800,2.00,0.50,10.00,1.50
0.42,56.94,4.82,0,0,800,2.00,0.50,10.00,1.50
0.43,63.62,4.25,0,0,800,2.00,0.50,10.00,1.50
0.44,66.94,4.41,0,0,800,2.00,0.50,10.00,1.50
0.45,65.63,5.57,0,0,800,2.00,0.50,10.00,1.50
0.46,56.80,3.38,0,0,800,2.00,0.50,10.00,1.50
0.47,62.31,4.32,0,0,800,2.00,0.50,10.00,1.50
