varying_param,final_coop,final_clusters,influencer_coop,influencer_non_coop,steps,velocity,imitation,range,temptation
0.00,0.00,1.00,0,6,800,2.00,0.50,10.00,1.50
0.02,0.00,1.00,0,6,800,2.00,0.50,10.00,1.50
0.04,0.00,1.00,0,6,800,2.00,0.50,10.00,1.50
0.06,0.00,1.02,0,6,800,2.00,0.50,10.00,1.50
0.08,0.00,1.00,0,6,800,2.00,0.50,10.00,1.50
0.10,0.00,1.00,0,6,800,2.00,0.50,10.00,1.50
0.12,0.00,1.00,0,6,800,2.00,0.50,10.00,1.50
0.14,4.11,1.35,0,6,800,2.00,0.50,10.00,1.50
0.16,0.00,1.00,0,6,800,2.00,0.50,10.00,1.50
0.18,0.00,1.00,0,6,800,2.00,0.50,10.00,1.50
0.20,8.56,1.33,0,6,800,2.00,0.50,10.00,1.50
0.22,5.13,1.38,0,6,800,2.00,0.50,10.00,1.50
0.24,7.96,1.98,0,6,800,2.00,0.50,10.00,1.50
0.26,12.43,2.01,0,6,800,2.00,0.50,10.00,1.50
0.28,8.77,1.73,0,6,800,2.00,0.50,10.00,1.50
0.30,11.44,1.47,0,6,800,2.00,0.50,10.00,1.50
0.32,18.58,1.93,0,6,800,2.00,0.50,10.00,1.50
0.34,13.08,2.18,0,6,800,2.00,0.50,10.00,1.50
0.36,29.75,3.20,0,6,800,2.00,0.50,10.00,1.50
0.38,30.75,3.49,0,6,800,2.00,0.50,10.00,1.50
0.40,22.83,4.08,0,6,800,2.00,0.50,10.00,1.50
0.42,43.80,4.59,0,6,800,2.00,0.50,10.00,1.50
0.44,44.58,4.97,0,6,800,2.00,0.50,10.00,1.50
0.46,53.06,5.41,0,6,800,2.00,0.50,10.00,1.50
0.48,50.96,4.97,0,6,800,2.00,0.50,10.00,1.50
0.50,49.60,4.73,0,6,800,2.00,0.50,10.00,1.50
0.52,55.50,6.07,0,6,800,2.00,0.50,10.00,1.50
0.54,66.00,6.94,0,6,800,2.00,0.50,10.00,1.50
0.56,60.72,5.83,0,6,800,2.00,0.50,10.00,1.50
0.58,70.72,5.05,0,6,800,2.00,0.50,10.00,1.50
0.60,63.43,6.58,0,6,800,2.00,0.50,10.00,1.50
0.62,61.90,5.63,0,6,800,2.00,0.50,10.00,1.50
0.64,58.48,6.64,0,6,800,2.00,0.50,10.00,1.50
0.66,63.22,5.37,0,6,800,2.00,0.50,10.00,1.50
0.68,62.67,6.61,0,6,800,2.00,0.50,10.00,1.50
0.70,73.54,5.53,0,6,800,2.00,0.50,10.00,1.50
0.72,75.60,6.92,0,6,800,2.00,0.50,10.00,1.50
0.74,73.92,5.17,0,6,800,2.00,0.50,10.00,1.50
0.76,76.41,5.13,0,6,800,2.00,0.50,10.00,1.50
0.78,70.37,4.82,0,6,800,2.00,0.50,10.00,1.50
0.80,73.98,4.74,0,6,800,2.00,0.50,10.00,1.50
0.82,77.10,4.96,0,6,800,2.00,0.50,10.00,1.50
0.84,71.68,5.94,0,6,800,2.00,0.50,10.00,1.50
0.86,66.72,6.93,0,6,800,2.00,0.50,10.00,1.50
0.88,72.68,5.99,0,6,800,2.00,0.50,10.00,1.50
0.90,74.65,6.28,0,6,800,2.00,0.50,10.00,1.50
0.92,75.22,4.91,0,6,800,2.00,0.50,10.00,1.50
0.94,76.02,6.14,0,6,800,2.00,0.50,10.00,1.50
0.96,75.81,6.39,0,6,800,2.00,0.50,10.00,1.50
0.98,77.66,5.01,0,6,800,2.00,0.50,10.00,1.50
1.00,74.66,5.20,0,6,800,2.00,0.50,10.00,1.50
