varying_param,final_coop,final_clusters,influencer_coop,influencer_non_coop,steps,velocity,imitation,range,temptation
1.00,93.65,4.06,0,0,800,2.00,0.50,10.00,1.50
1.10,87.27,5.14,0,0,800,2.00,0.50,10.00,1.50
1.20,85.25,4.65,0,0,800,2.00,0.50,10.00,1.50
1.30,83.76,5.00,0,0,800,2.00,0.50,10.00,1.50
1.40,74.35,5.56,0,0,800,2.00,0.50,10.00,1.50
1.50,61.03,4.98,0,0,800,2.00,0.50,10.00,1.50
1.60,71.61,6.15,0,0,800,2.00,0.50,10.00,1.50
1.70,66.37,6.81,0,0,800,2.00,0.50,10.00,1.50
1.80,66.86,4.44,0,0,800,2.00,0.50,10.00,1.50
1.90,48.93,3.55,0,0,800,2.00,0.50,10.00,1.50
2.00,41.83,4.82,0,0,800,2.00,0.50,10.00,1.50
2.10,39.15,3.50,0,0,800,2.00,0.50,10.00,1.50
2.20,56.11,4.48,0,0,800,2.00,0.50,10.00,1.50
2.30,44.19,4.47,0,0,800,2.00,0.50,10.00,1.50
2.40,48.68,5.05,0,0,800,2.00,0.50,10.00,1.50
2.50,22.08,2.74,0,0,800,2.00,0.50,10.00,1.50
2.60,33.56,4.80,0,0,800,2.00,0.50,10.00,1.50
2.70,27.06,3.22,0,0,800,2.00,0.50,10.00,1.50
2.80,33.37,3.79,0,0,800,2.00,0.50,10.00,1.50
2.90,30.83,3.74,0,0,800,2.00,0.50,10.00,1.50
3.00,19.27,3.15,0,0,800,2.00,0.50,10.00,1.50
3.10,4.77,1.76,0,0,800,2.00,0.50,10.00,1.50
3.20,14.88,2.76,0,0,800,2.00,0.50,10.00,1.50
3.30,29.88,3.11,0,0,800,2.00,0.50,10.00,1.50
3.40,16.91,3.20,0,0,800,2.00,0.50,10.00,1.50
3.50,22.62,3.38,0,0,800,2.00,0.50,10.00,1.50
3.60,18.25,3.55,0,0,800,2.00,0.50,10.00,1.50
3.70,13.39,2.41,0,0,800,2.00,0.50,10.00,1.50
3.80,10.47,3.02,0,0,800,2.00,0.50,10.00,1.50
3.90,14.88,3.02,0,0,800,2.00,0.50,10.00,1.50
4.00,14.97,2.59,0,0,800,2.00,0.50,10.00,1.50
4.10,1.50,2.00,0,0,800,2.00,0.50,10.00,1.50
4.20,20.84,2.76,0,0,800,2.00,0.50,10.00,1.50
4.30,12.65,2.39,0,0,800,2.00,0.50,10.00,1.50
4.40,6.39,2.03,0,0,800,2.00,0.50,10.00,1.50
4.50,5.81,1.61,0,0,800,2.00,0.50,10.00,1.50
4.60,4.56,1.63,0,0,800,2.00,0.50,10.00,1.50
4.70,0.09,1.25,0,0,800,2.00,0.50,10.00,1.50
4.80,4.66,2.19,0,0,800,2.00,0.50,10.00,1.50
4.90,9.88,2.79,0,0,800,2.00,0.50,10.00,1.50
5.00,2.74,1.55,0,0,800,2.00,0.50,10.00,1.50
5.10,0.76,2.09,0,0,800,2.00,0.50,10.00,1.50
5.20,1.66,1.30,0,0,800,2.00,0.50,10.00,1.50
5.30,7.68,1.85,0,0,800,2.00,0.50,10.00,1.50
5.40,2.68,1.73,0,0,800,2.00,0.50,10.00,1.50
5.50,6.38,2.26,0,0,800,2.00,0.50,10.00,1.50
5.60,7.16,2.91,0,0,800,2.00,0.50,10.00,1.50
5.70,2.08,1.97,0,0,800,2.00,0.50,10.00,1.50
5.80,0.00,1.00,0,0,800,2.00,0.50,10.00,1.50
5.90,0.00,1.01,0,0,800,2.00,0.50,10.00,1.50
6.00,0.94,1.25,0,0,800,2.00,0.50,10.00,1.50
