varying_param,final_coop,final_clusters,influencer_coop,influencer_non_coop,steps,velocity,imitation,range,temptation
0.00,15.34,32.87,0,0,800,2.00,0.50,10.00,1.50
0.50,17.39,10.68,0,0,800,2.00,0.50,10.00,1.50
1.00,32.05,7.26,0,0,800,2.00,0.50,10.00,1.50
1.50,51.55,5.52,0,0,800,2.00,0.50,10.00,1.50
2.00,61.03,4.98,0,0,800,2.00,0.50,10.00,1.50
2.50,70.24,4.28,0,0,800,2.00,0.50,10.00,1.50
3.00,93.53,2.53,0,0,800,2.00,0.50,10.00,1.50
3.50,91.87,2.45,0,0,800,2.00,0.50,10.00,1.50
4.00,71.63,2.93,0,0,800,2.00,0.50,10.00,1.50
4.50,97.79,1.94,0,0,800,2.00,0.50,10.00,1.50
5.00,75.00,1.00,0,0,800,2.00,0.50,10.00,1.50
5.50,72.06,1.45,0,0,800,2.00,0.50,10.00,1.50
6.00,0.00,1.05,0,0,800,2.00,0.50,10.00,1.50
6.50,73.80,1.36,0,0,800,2.00,0.50,10.00,1.50
7.00,25.00,1.01,0,0,800,2.00,0.50,10.00,1.50
7.50,0.00,1.04,0,0,800,2.00,0.50,10.00,1.50
8.00,22.55,1.90,0,0,800,2.00,0.50,10.00,1.50
8.50,0.00,1.01,0,0,800,2.00,0.50,10.00,1.50
9.00,0.00,1.01,0,0,800,2.00,0.50,10.00,1.50
9.50,0.00,1.01,0,0,800,2.00,0.50,10.00,1.50
10.00,0.00,1.01,0,0,800,2.00,0.50,10.00,1.50
10.50,25.00,1.02,0,0,800,2.00,0.50,10.00,1.50
11.00,0.00,1.02,0,0,800,2.00,0.50,10.00,1.50
11.50,0.00,1.00,0,0,800,2.00,0.50,10.00,1.50
12.00,0.00,1.01,0,0,800,2.00,0.50,10.00,1.50
